,City,Elevation,Condo value,Females,Land area,Males,Cost of living,Median Income,Population,Population density
53,"Germantown, TN",," $316,472 ",38.6 years,17.6,46.0 years,89.1," $109,292 "," 39,267 (100% urban, 0% rural). "," 2,233 "
54,"Gibbs, TN", 335 feet," $163,367 ",35.9 years,27.0,36.2 years,89.2," $58,294 "," 9,586.", 354 
55,Goodlettsville, 509 feet," $213,540 ",38.6 years,14.0,42.5 years,89.7," $57,006 "," 16,991 (99% urban, 1% rural). "," 1,216 "
56,Green Hill,," $214,170 ",38.6 years,3.89,45.2 years,90.0," $88,132 "," 6,618. "," 1,700 "
57,"Greenbrier, TN",," $146,124 ",38.6 years,6.6,36.3 years,88.0," $50,302 "," 6,685 (86% urban, 14% rural). "," 1,013 "
58,Greeneville, 1531 feet," $150,285 ",38.6 years,14.0,42.6 years,81.7," $34,345 "," 15,035 (99% urban, 1% rural). "," 1,071 "
59,Hardin Valley,," $204,299 ",35.9 years,40.4,37.2 years,91.2," $70,958 "," 16,267.", 402 
60,"Harriman, TN", 798 feet," $85,331 ",38.6 years,10.0,42.4 years,81.1," $27,393 "," 6,219 (91% urban, 9% rural). ", 619 
61,"Harrison, TN", 750 feet," $150,099 ",38.6 years,7.29,43.7 years,88.5," $55,169 "," 7,769. "," 1,065 "
62,Hartsville/Trousdale County,," $139,446
",38.6 years,,39.1 years,80.7," $49,686"," 8,002 (0% urban, 100% rural).",
63,"Hendersonville, TN", 459 feet," $240,442 ",38.6 years,27.3,40.3 years,89.7," $65,152 "," 55,153 (99% urban, 1% rural). "," 2,018 "
64,"Henderson, TN", 462 feet," $121,731 ",38.6 years,5.72,26.6 years,86.3," $35,531 "," 6,513 (93% urban, 7% rural). "," 1,139 "
65,"Humboldt, TN", 357 feet," $80,794 ",38.6 years,9.66,43.1 years,79.3," $36,656 "," 8,348 (93% urban, 7% rural). ", 864 
66,Indian Mound-Bumpus Mills,," $139,619 ",35.9 years,170.7,36.4 years,84.4," $46,432 "," 6,436.", 38 
67,"Jackson, TN", 401 feet," $138,400 ",38.6 years,49.5,37.0 years,86.7," $38,980 "," 67,006"," 1,354 "
68,"Jefferson City, TN", 1205 feet," $121,299 ",38.6 years,5.3,32.7 years,80.9," $33,921 "," 8,370 (98% urban, 2% rural). "," 1,579 "
69,"Johnson City, TN", 1635 feet," $171,500 ",38.6 years,39.3,38.3 years,83.6," $41,342 "," 66,976"," 1,705 "
70,Karns, 980 feet," $205,027 ",35.9 years,13.6,38.8 years,92.0," $67,531 "," 11,119.", 815 
71,Kingsport, 1208 feet," $138,245 ",38.6 years,44.1,44.8 years,81.7," $41,269 "," 53,028 (98% urban, 2% rural). "," 1,203 "
72,Knob Creek,," $137,768 ",35.9 years,53.7,37.3 years,84.3," $40,240 "," 6,543.", 122 
73,"Knoxville, TN", 889 feet," $128,000 ",38.6 years,92.7,32.4 years,86.9," $35,816 "," 186,238"," 2,010 "
74,"La Follette, TN",," $69,345 ",38.6 years,4.88,43.1 years,78.0," $28,060 "," 7,131 (96% urban, 4% rural). "," 1,462 "
75,La Vergne, 600 feet," $141,486 ",38.6 years,24.8,31.9 years,89.3," $58,640 "," 34,274 (97% urban, 3% rural). "," 1,382 "
76,"Lakeland, TN", 400 feet," $269,156 ",38.6 years,17.6,39.1 years,87.5," $102,111 "," 12,564 (84% urban, 16% rural). ", 713 
77,Lanier, 980 feet," $183,566 ",35.9 years,140.6,38.2 years,86.2," $53,952 "," 11,534.", 82 
78,"Lantana, TN", 2054 feet," $125,466 ",35.9 years,132.2,41.7 years,83.6," $39,778 "," 6,822.", 52 
79,Lascassas, 585 feet," $183,995 ",35.9 years,103.7,33.1 years,85.6," $68,238 "," 11,822.", 114 
80,"Lawrenceburg, TN", 890 feet," $92,568 ",38.6 years,12.6,41.9 years,80.1," $31,528 "," 10,498 (93% urban, 7% rural). ", 834 
81,"Lebanon, TN", 531 feet," $196,425 ",38.6 years,29.2,36.4 years,89.2," $48,242 "," 29,427 (95% urban, 5% rural). "," 1,006 "
82,Lenoir City, 798 feet," $121,839 ",38.6 years,6.2,32.0 years,86.1," $38,198 "," 9,034 (99% urban, 1% rural). "," 1,456 "
83,"Lewisburg, TN", 734 feet," $99,589 ",38.6 years,11.7,36.7 years,80.2," $36,519 "," 11,371 (93% urban, 7% rural). ", 973 
84,"Lexington, TN", 503 feet," $121,191 ",38.6 years,11.5,34.0 years,79.2," $49,723 "," 7,825 (80% urban, 20% rural). ", 678 
85,Lower Rutherford Creek,," $215,360 ",35.9 years,65.6,37.5 years,85.1," $74,847 "," 7,726.", 118 
86,Lyles-Wrigley,," $103,351 ",35.9 years,73.6,33.3 years,83.7," $40,328 "," 6,544.", 89 
87,"Lynchburg, TN", 795 feet," $174,766 ",38.6 years,129.2,46.6 years,80.2," $51,593 "," 6,313 (0% urban, 100% rural). ", 49 
88,"Manchester, TN", 1063 feet," $125,296 ",38.6 years,11.0,36.1 years,81.3," $48,568 "," 10,349 (96% urban, 4% rural). ", 938 
89,Martha-Laguardo,," $287,233 ",35.9 years,67.4,38.1 years,88.7," $86,857 "," 13,271.", 197 
90,"Martin, TN", 413 feet," $135,773 ",38.6 years,12.4,24.5 years,81.6," $32,412 "," 11,322 (95% urban, 5% rural). ", 914 
91,"Maryville, TN", 940 feet," $195,655 ",38.6 years,15.9,38.5 years,86.6," $54,860 "," 28,329 (100% urban, 0% rural). "," 1,780 "
92,Mayland-Pleasant Hill,," $121,749 ",35.9 years,120.7,37.6 years,83.9," $37,800 "," 7,422.", 61 
93,"McMinnville, TN", 950 feet," $99,913 ",38.6 years,10.0,39.8 years,80.6," $31,413 "," 13,620 (100% urban, 0% rural). "," 1,360 "
94,"Memphis, TN", 254 feet," $96,800 ",38.6 years,279.3,33.8 years,85.7," $38,826 "," 652,752"," 2,337 "
95,"Metropolitan Government, TN",," $213,300 ",35.9 years,502.3,34.1 years,95.7," $54,855 "," 620,916."," 1,236 "
96,Middle Valley, 720 feet," $167,178 ",38.6 years,12.1,40.4 years,88.7," $58,799 "," 12,684. "," 1,046 "
97,"Milan, TN", 420 feet," $109,094 ",38.6 years,8.05,39.8 years,81.5," $37,264 "," 7,834 (92% urban, 8% rural). ", 973 
98,"Millersville, TN", 500 feet," $173,127 ",38.6 years,13.5,36.3 years,88.3," $61,704 "," 6,660 (78% urban, 22% rural). ", 493 
99,"Millington, TN", 270 feet," $118,450 ",38.6 years,15.6,38.7 years,85.7," $48,676 "," 11,080 (88% urban, 12% rural). ", 712 
100,"Morristown, TN", 1350 feet," $117,735 ",38.6 years,20.9,37.6 years,81.2," $32,583 "," 29,304 (98% urban, 2% rural). "," 1,402 "
101,Mount Juliet, 550 feet," $248,220 ",38.6 years,16.2,36.4 years,90.0," $87,463 "," 29,387 (99% urban, 1% rural). "," 1,809 "
102,"Munford, TN", 445 feet," $160,184 ",38.6 years,8.04,31.2 years,86.1," $66,947 "," 6,055 (85% urban, 15% rural). ", 753 
103,"Murfreesboro, TN", 619 feet," $211,000 ",38.6 years,39.0,30.3 years,89.5," $54,654 "," 131,939"," 3,384 "
104,"Nashville-Davidson, TN",," $210,600 ",38.6 years,473.3,34.0 years,90.0," $54,310 "," 660,393"," 1,395 "
105,"Newport, TN", 1055 feet," $99,805 ",38.6 years,5.41,44.5 years,80.6," $23,367 "," 6,880 (97% urban, 3% rural). "," 1,271 "
106,Nolensville, 620 feet," $396,770 ",38.6 years,9.49,34.4 years,93.0," $116,588 "," 6,423 (94% urban, 6% rural). ", 677 
107,Northeast Wilson,," $219,088 ",35.9 years,116.6,36.2 years,87.0," $68,851 "," 12,940.", 111 
108,"Oak Ridge, TN", 875 feet," $144,575 ",38.6 years,85.5,42.4 years,86.0," $50,173 "," 29,303 (93% urban, 7% rural). ", 343 
109,"Oakland, TN",," $189,456 ",38.6 years,3.6,37.5 years,88.7," $73,896 "," 7,316 (96% urban, 4% rural). "," 2,030 "
110,"Paris, TN", 519 feet," $94,728 ",38.6 years,10.9,38.6 years,80.0," $33,054 "," 10,156 (94% urban, 6% rural). ", 933 
111,Pigeon Forge, 1010 feet," $175,946 ",38.6 years,11.6,44.5 years,86.0," $37,430 "," 6,132 (83% urban, 17% rural). ", 529 
112,"Pope, TN", 397 feet," $254,363 ",35.9 years,58.3,38.1 years,85.9," $83,905 "," 7,332.", 126 
113,"Portland, TN", 805 feet," $146,019 ",38.6 years,11.4,32.9 years,87.9," $48,987 "," 12,218 (89% urban, 11% rural). "," 1,069 "
114,Powell Valley, 1240 feet," $117,336 ",35.9 years,86.3,37.5 years,83.5," $35,874 "," 6,811.", 79 
115,"Powell, TN", 994 feet," $170,462 ",35.9 years,22.5,37.0 years,89.9," $59,923 "," 15,078.", 671 
116,"Pulaski, TN", 709 feet," $104,665 ",38.6 years,6.55,39.6 years,80.8," $31,271 "," 7,625 (99% urban, 1% rural). "," 1,163 "
117,"Red Bank, TN",," $134,612 ",38.6 years,6.44,37.6 years,89.5," $36,596 "," 11,784 (100% urban, 0% rural). "," 1,829 "
118,"Ripley, TN", 459 feet," $98,941 ",38.6 years,12.8,34.6 years,80.8," $27,379 "," 8,257 (93% urban, 7% rural). ", 645 
119,Sale Creek, 727 feet," $162,395 ",35.9 years,53.3,40.5 years,84.7," $50,044 "," 6,648.", 125 
120,"Savannah, TN", 442 feet," $94,512 ",38.6 years,5.73,41.6 years,81.0," $28,166 "," 7,053 (98% urban, 2% rural). "," 1,231 "
121,Sevierville, 903 feet," $173,238 ",38.6 years,19.9,35.8 years,83.5," $40,466 "," 16,355 (89% urban, 11% rural). ", 822 
122,"Seymour, TN", 960 feet," $157,820 ",38.6 years,12.6,42.0 years,82.6," $57,707 "," 10,919. ", 864 
123,Shelby Forest,," $158,617 ",35.9 years,82.7,34.6 years,84.8," $52,507 "," 8,411.", 102 
124,"Shelbyville, TN", 765 feet," $112,550 ",38.6 years,15.5,34.9 years,81.8," $37,129 "," 21,037 (96% urban, 4% rural). "," 1,360 "
125,Signal Mountain, 1790 feet," $345,706 ",38.6 years,6.68,42.7 years,92.6," $95,599 "," 8,519 (98% urban, 2% rural). "," 1,276 "
126,"Smyrna, TN",," $168,333 ",38.6 years,22.8,34.5 years,88.6," $58,549 "," 45,274 (99% urban, 1% rural). "," 1,983 "
127,"Snow Hill, TN", 720 feet," $191,381 ",35.9 years,81.7,36.9 years,86.0," $61,081 "," 13,441.", 164 
128,Soddy-Daisy, 940 feet," $126,550 ",38.6 years,23.0,41.4 years,88.8," $40,093 "," 13,190 (89% urban, 11% rural). ", 573 
129,South Bradley,," $159,085 ",35.9 years,67.5,37.3 years,84.3," $51,038 "," 7,237.", 107 
130,South Cannon,," $141,709 ",35.9 years,95.1,38.1 years,84.1," $43,237 "," 6,365.", 67 
131,South Cleveland, 930 feet," $124,121 ",38.6 years,14.6,35.4 years,83.9," $47,820 "," 6,912. ", 473 
132,Southeast Bradley,," $128,704 ",35.9 years,62.7,35.4 years,83.5," $44,830 "," 8,592.", 137 
133,Southeast Nolichucky,," $128,041 ",35.9 years,115.3,37.7 years,82.4," $45,903 "," 7,078.", 61 
134,Spring Creek-Beech Bluff,," $140,518 ",35.9 years,117.8,35.5 years,84.0," $54,858 "," 9,059.", 77 
135,"Spring Hill, TN",," $253,793 ",38.6 years,17.7,33.7 years,87.1," $80,099 "," 34,269 (97% urban, 3% rural). "," 1,935 "
136,"Springfield, TN", 677 feet," $139,186 ",38.6 years,12.2,34.7 years,88.0," $47,048 "," 16,752 (97% urban, 3% rural). "," 1,372 "
137,St. Bethlehem, 561 feet," $177,432 ",35.9 years,86.4,30.2 years,92.3," $66,679 "," 26,101.", 302 
138,"Stony Creek, TN",," $124,844 ",35.9 years,71.1,39.6 years,84.9," $34,160 "," 7,231.", 102 
139,"Sulphur Springs, TN",," $186,031 ",35.9 years,71.3,37.9 years,84.8," $59,990 "," 11,636.", 163 
140,"Telford, TN", 1552 feet," $138,848 ",35.9 years,82.2,37.3 years,84.5," $42,476 "," 10,745.", 131 
141,Tiger Valley, 2040 feet," $95,396 ",35.9 years,64.6,38.7 years,83.2," $31,214 "," 6,033.", 93 
142,Tullahoma, 1071 feet," $124,108 ",38.6 years,22.2,41.0 years,80.9," $40,303 "," 18,899 (91% urban, 9% rural). ", 850 
143,"Union City, TN", 337 feet," $95,808 ",38.6 years,10.7,40.0 years,79.3," $36,182 "," 10,666 (92% urban, 8% rural). "," 1,000 "
144,"Unionville, TN",," $127,787 ",35.9 years,89.8,32.6 years,83.4," $49,646 "," 6,652.", 74 
145,Upper Big Bigby,," $133,138 ",35.9 years,100.7,37.1 years,89.7," $41,159 "," 9,488.", 94 
146,Walden Ridge,," $101,284 ",35.9 years,50.7,38.3 years,83.0," $40,301 "," 6,736.", 133 
147,Wear Valley, 1454 feet," $178,316 ",35.9 years,69.7,40.1 years,85.9," $45,294 "," 7,594.", 109 
148,West Bradley,," $166,263 ",35.9 years,84.4,37.6 years,88.9," $48,370 "," 17,510.", 208 
149,"West Chester, TN",," $113,474 ",35.9 years,139.9,32.6 years,82.8," $44,927 "," 10,840.", 77 
150,White House, 862 feet," $198,527 ",38.6 years,8.97,35.9 years,88.0," $73,269 "," 11,042 (89% urban, 11% rural). "," 1,232 "
151,"Wildwood, TN",," $171,746 ",35.9 years,49.2,37.0 years,84.4," $56,361 "," 10,095.", 205 
152,"Winchester, TN", 965 feet," $128,104 ",38.6 years,9.98,46.4 years,78.8," $42,635 "," 8,547 (95% urban, 5% rural). ", 857 
153,Woodlawn-Dotsonville,," $167,805 ",35.9 years,69.1,32.1 years,84.8," $66,489 "," 8,306.", 120 
0,"Ansonia, CT", 141 feet," $217,969 ",40.9 years,6.03,39.2 years,132.9," $45,780 "," 18,959 (100% urban, 0% rural). "," 3,143 "
1,"Avon, CT", 202 feet," $403,858 ",39.2 years,23.1,44.9 years,114.3," $124,396 "," 18,098. ", 783 
2,Beacon Falls, 185 feet," $251,174 ",39.2 years,9.78,41.5 years,139.7," $76,689 "," 6,049. ", 619 
3,"Berlin, CT", 100 feet," $282,901 ",39.2 years,26.5,45.5 years,111.7," $93,115 "," 19,866. ", 751 
4,"Bethel, CT", 384 feet," $284,488 ",40.9 years,4.08,42.9 years,133.5," $75,551 "," 9,549. "," 2,339 "
5,"Bloomfield, CT", 121 feet," $223,009 ",39.2 years,26.0,47.9 years,111.7," $73,614 "," 20,486. ", 788 
6,"Branford, CT", 49 feet," $290,994 ",39.2 years,22.0,47.0 years,141.8," $78,609 "," 28,026. "," 1,275 "
7,"Bridgeport, CT", 25 feet," $177,400 ",40.9 years,16.0,34.0 years,133.1," $42,113 "," 145,934"," 9,121 "
8,"Bristol, CT", 289 feet," $195,368 ",40.9 years,26.5,41.6 years,105.2," $62,823 "," 60,570 (100% urban, 0% rural). "," 2,285 "
9,"Brookfield, CT", 292 feet," $386,324 ",39.2 years,19.8,43.5 years,143.8," $114,235 "," 16,452. ", 831 
10,"Brooklyn, CT", 280 feet," $220,795 ",39.2 years,29.0,40.9 years,126.5," $67,946 "," 8,210. ", 283 
11,"Burlington, CT", 840 feet," $331,920 ",39.2 years,29.8,42.4 years,105.6," $113,147 "," 9,301. ", 312 
12,"Canton, CT", 347 feet," $294,278 ",39.2 years,24.6,44.0 years,112.3," $88,936 "," 10,292. ", 419 
13,Central Manchester,," $188,211 ",37.4 years,6.45,35.7 years,111.5," $60,159 "," 31,154."," 4,827 "
14,"Cheshire, CT", 262 feet," $351,745 ",39.2 years,32.9,42.2 years,140.7," $109,041 "," 29,261. ", 889 
15,"Colchester, CT", 475 feet," $275,953 ",39.2 years,49.1,40.6 years,112.7," $90,467 "," 16,068. ", 327 
16,Conning Towers-Nautilus Park,," $226,568 ",40.9 years,4.98,22.9 years,109.2," $64,664 "," 8,834. "," 1,773 "
17,Cos Cob, 25 feet," $423,200
",40.9 years,,43.9 years,134.5," $90,123"," 6,770.",
18,"Coventry, CT", 530 feet," $242,456 ",39.2 years,37.7,41.5 years,104.0," $89,008 "," 12,435. ", 330 
19,"Cromwell, CT", 35 feet," $245,477 ",39.2 years,12.4,43.1 years,134.5," $81,743 "," 14,005. "," 1,130 "
20,"Danbury, CT", 378 feet," $297,600 ",40.9 years,42.1,39.7 years,134.2," $70,187 "," 85,008"," 2,019 "
21,"Darien, CT", 60 feet," over $1,000,000 ",40.9 years,12.9,39.4 years,146.0," over $200,000 "," 20,732. "," 1,613 "
22,"Derby, CT", 200 feet," $202,342 ",40.9 years,4.98,39.1 years,131.0," $58,369 "," 12,768 (100% urban, 0% rural). "," 2,563 "
23,East Haddam, 35 feet," $307,297 ",39.2 years,54.3,44.2 years,130.2," $83,955 "," 9,126. ", 168 
24,East Hartford, 60 feet," $165,733 ",40.9 years,18.0,38.3 years,105.5," $51,799 "," 51,252. "," 2,844 "
25,"East Haven, CT", 25 feet," $210,054 ",40.9 years,12.3,42.8 years,130.9," $66,621 "," 29,257. "," 2,386 "
26,East Lyme,," $282,882 ",39.2 years,34.0,44.3 years,113.4," $92,885 "," 19,159. ", 563 
27,East Windsor,," $217,153 ",39.2 years,26.3,43.2 years,111.0," $69,893 "," 11,162. ", 425 
28,"Easton, CT", 393 feet," $732,419 ",39.2 years,27.4,45.1 years,148.3," $173,421 "," 7,490. ", 273 
29,"Ellington, CT", 240 feet," $259,738 ",39.2 years,34.1,40.9 years,111.1," $85,877 "," 15,602. ", 458 
30,"Enfield, CT", 154 feet," $206,613 ",39.2 years,33.4,40.4 years,110.6," $72,243 "," 44,654. "," 1,338 "
31,"Essex, CT", 100 feet," $414,174 ",39.2 years,10.4,49.2 years,142.8," $89,941 "," 6,683. ", 645 
32,"Fairfield, CT", 15 feet," $496,793 ",39.2 years,30.0,40.0 years,151.0," $115,348 "," 59,404. "," 1,978 "
33,"Farmington, CT", 245 feet," $309,167 ",39.2 years,28.1,44.2 years,113.3," $91,754 "," 25,340. ", 903 
34,Glastonbury Center,," $294,422 ",40.9 years,4.77,45.1 years,106.3," $88,647 "," 7,387. "," 1,548 "
35,Glastonbury, 90 feet," $357,349 ",39.2 years,51.4,43.1 years,112.9," $110,341 "," 34,427. ", 670 
36,"Granby, CT", 215 feet," $301,973 ",39.2 years,40.7,44.6 years,111.4," $111,013 "," 11,282. ", 277 
37,"Greenwich, CT", 140 feet," over $1,000,000 ",39.2 years,47.8,42.8 years,176.2," $136,859 "," 61,171. "," 1,279 "
38,"Griswold, CT",," $206,315 ",39.2 years,34.9,39.6 years,111.4," $70,015 "," 11,951. ", 342 
39,"Groton, CT", 75 feet," $198,510 ",40.9 years,3.19,34.8 years,107.3," $57,687 "," 9,299 (100% urban, 0% rural). "," 2,915 "
40,"Guilford, CT", 20 feet," $392,246 ",39.2 years,47.1,46.6 years,143.2," $104,132 "," 22,375. ", 476 
41,"Haddam, CT", 89 feet," $324,238 ",39.2 years,44.0,44.4 years,129.9," $105,875 "," 8,346. ", 190 
42,"Hamden, CT", 101 feet," $229,902 ",39.2 years,32.8,37.4 years,139.5," $70,942 "," 60,960. "," 1,859 "
43,"Hartford, CT", 75 feet," $161,200 ",40.9 years,17.3,31.0 years,106.3," $36,637 "," 123,287"," 7,124 "
44,"Hebron, CT", 542 feet," $283,336 ",39.2 years,36.9,41.8 years,104.1," $103,399 "," 9,686. ", 262 
45,"Kensington, CT", 84 feet," $262,859 ",40.9 years,5.26,46.4 years,105.7," $91,350 "," 8,459. "," 1,607 "
46,Killingly,," $186,933 ",39.2 years,48.5,39.8 years,126.8," $56,107 "," 17,370. ", 358 
47,Killingworth, 374 feet," $415,436 ",39.2 years,35.3,46.5 years,136.6," $108,886 "," 6,525. ", 185 
48,"Lebanon, CT", 414 feet," $248,236 ",39.2 years,54.1,42.7 years,104.1," $85,394 "," 7,308. ", 135 
49,"Ledyard, CT",," $248,063 ",39.2 years,38.1,40.6 years,112.9," $87,452 "," 15,051. ", 395 
50,"Madison, CT", 22 feet," $440,405 ",39.2 years,36.2,46.6 years,143.9," $118,569 "," 18,269. ", 505 
51,"Manchester, CT", 272 feet," $205,610 ",39.2 years,27.3,36.9 years,111.4," $67,614 "," 58,241. "," 2,137 "
52,"Mansfield, CT", 460 feet," $240,295 ",39.2 years,44.5,21.5 years,111.9," $67,276 "," 26,543. ", 597 
53,"Marlborough, CT", 508 feet," $299,297 ",39.2 years,23.3,43.0 years,110.4," $109,801 "," 6,404. ", 275 
54,"Meriden, CT", 140 feet," $177,379 ",40.9 years,23.7,41.1 years,129.2," $58,612 "," 60,293 (99% urban, 1% rural). "," 2,539 "
55,"Middlebury, CT", 708 feet," $337,791 ",39.2 years,17.8,43.9 years,141.1," $95,494 "," 7,575. ", 427 
56,"Middletown, CT", 100 feet," $237,115 ",40.9 years,40.9,37.1 years,127.3," $63,750 "," 47,043 (96% urban, 4% rural). "," 1,150 "
57,"Milford, CT", 60 feet," $309,601 ",40.9 years,22.3,44.1 years,133.5," $86,495 "," 51,857 (100% urban, 0% rural). "," 2,327 "
58,"Monroe, CT", 645 feet," $404,682 ",39.2 years,26.1,42.7 years,144.1," $117,403 "," 19,479. ", 745 
59,"Montville, CT",," $215,496 ",39.2 years,42.0,40.7 years,111.9," $76,897 "," 19,571. ", 466 
60,Naugatuck, 475 feet," $181,438 ",40.9 years,16.4,39.6 years,128.6," $62,807 "," 31,659 (97% urban, 3% rural). "," 1,932 "
61,"New Britain, CT", 190 feet," $154,900 ",40.9 years,13.3,36.0 years,106.5," $41,128 "," 72,570"," 5,441 "
62,New Canaan, 250 feet," over $1,000,000 ",39.2 years,22.1,43.0 years,170.7," $195,840 "," 19,738. ", 892 
63,New Fairfield, 621 feet," $364,134 ",39.2 years,20.5,42.4 years,143.1," $116,540 "," 13,881. ", 678 
64,"New Hartford, CT", 450 feet," $274,486 ",39.2 years,37.0,44.1 years,127.6," $94,845 "," 6,970. ", 188 
65,"New Haven, CT", 75 feet," $191,000 ",40.9 years,18.9,30.8 years,133.3," $40,457 "," 129,939"," 6,893 "
66,"New London, CT", 103 feet," $184,281 ",40.9 years,5.54,31.0 years,109.2," $36,992 "," 27,374 (100% urban, 0% rural). "," 4,943 "
67,"New Milford, CT", 350 feet," $218,846 ",40.9 years,3.39,40.8 years,134.9," $59,807 "," 6,523. "," 1,923 "
68,"Newington, CT", 98 feet," $231,397 ",40.9 years,13.2,44.9 years,106.1," $81,975 "," 30,562. "," 2,319 "
69,North Branford, 120 feet," $300,013 ",39.2 years,24.9,44.6 years,141.6," $87,321 "," 14,407. ", 578 
70,"North Haven, CT", 41 feet," $299,860 ",40.9 years,20.8,45.4 years,130.8," $98,867 "," 24,093. "," 1,159 "
71,"Norwalk, CT", 45 feet," $436,600 ",40.9 years,22.8,37.7 years,137.7," $88,209 "," 88,440"," 3,878 "
72,"Norwich, CT", 100 feet," $169,951 ",40.9 years,28.3,37.2 years,107.2," $54,152 "," 40,178 (97% urban, 3% rural). "," 1,418 "
73,"Oakville, CT", 500 feet," $191,478 ",40.9 years,3.16,45.4 years,131.6," $69,483 "," 9,047. "," 2,862 "
74,Old Greenwich, 20 feet," $423,200
",40.9 years,,40.0 years,138.1," $90,123"," 6,611.",
75,Old Lyme, 12 feet," $419,039 ",39.2 years,23.1,48.8 years,118.7," $95,463 "," 7,603. ", 329 
76,Old Saybrook, 16 feet," $348,930 ",39.2 years,15.0,50.1 years,140.8," $84,546 "," 10,242. ", 681 
77,"Orange, CT", 185 feet," $387,940 ",40.9 years,17.2,45.5 years,133.7," $112,351 "," 13,956. ", 812 
78,"Oxford, CT", 351 feet," $356,850 ",39.2 years,32.9,43.4 years,140.0," $104,515 "," 12,683. ", 386 
79,"Plainfield, CT", 203 feet," $183,823 ",39.2 years,42.3,38.5 years,126.4," $58,516 "," 15,405. ", 364 
80,"Plainville, CT", 191 feet," $206,613 ",39.2 years,9.76,42.0 years,110.6," $65,849 "," 17,716. "," 1,816 "
81,"Plymouth, CT", 725 feet," $190,940 ",39.2 years,21.7,41.9 years,142.8," $73,541 "," 12,243. ", 564 
82,"Prospect, CT", 852 feet," $303,076 ",39.2 years,14.3,43.8 years,139.3," $91,552 "," 9,405. ", 657 
83,Putnam District,," $166,374 ",37.4 years,3.19,36.3 years,125.7," $53,229 "," 7,207."," 2,257 "
84,"Putnam, CT", 290 feet," $178,122 ",39.2 years,20.3,39.9 years,124.8," $58,733 "," 9,584. ", 472 
85,"Redding, CT", 680 feet," $635,359 ",39.2 years,31.5,46.4 years,144.2," $143,836 "," 9,158. ", 291 
86,"Ridgefield, CT", 725 feet," $673,087 ",40.9 years,6.41,45.6 years,137.4," $124,093 "," 7,645. "," 1,193 "
87,"Riverside, CT",," $423,200
",40.9 years,,41.5 years,134.5," $90,123"," 8,416.",
88,"Rockville, CT", 400 feet," $170,972 ",40.9 years,1.73,32.3 years,106.2," $36,986 "," 7,474. "," 4,313 "
89,"Rocky Hill, CT", 130 feet," $262,491 ",39.2 years,13.5,44.0 years,112.2," $82,416 "," 19,709. "," 1,465 "
90,"Seymour, CT", 175 feet," $262,915 ",39.2 years,14.6,41.6 years,140.3," $71,019 "," 16,540. "," 1,135 "
91,"Shelton, CT", 130 feet," $346,217 ",40.9 years,30.6,47.3 years,132.6," $90,754 "," 41,295 (100% urban, 0% rural). "," 1,351 "
92,Simsbury, 181 feet," $378,596 ",39.2 years,33.9,43.5 years,113.8," $113,537 "," 23,511. ", 694 
93,"Somers, CT", 272 feet," $322,222 ",39.2 years,28.3,42.5 years,112.9," $89,824 "," 11,444. ", 404 
94,South Windsor,," $272,194 ",39.2 years,28.0,43.3 years,111.1," $101,217 "," 25,709. ", 920 
95,Southbury, 527 feet," $330,644 ",39.2 years,39.1,49.9 years,144.7," $83,908 "," 19,904. ", 510 
96,Southington, 165 feet," $266,004 ",39.2 years,36.0,43.3 years,111.6," $82,815 "," 43,069. "," 1,197 "
97,Southwood Acres,," $184,407 ",40.9 years,4.08,43.5 years,105.9," $85,275 "," 7,657. "," 1,875 "
98,"Stafford, CT", 591 feet," $211,879 ",39.2 years,58.0,41.8 years,110.2," $72,520 "," 12,087. ", 209 
